City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
271,Alofi,NU,80.49,-19.0595,-169.9187,Taloa Heights
273,Pauini,BR,80.38,-7.7136,-66.9764,Casa do Kiwliks
276,Norman Wells,CA,80.64,65.282,-126.8329,Heritage Hotel
277,Matara,LK,79.54,5.9485,80.5353,Amaloh Boutique Resort
278,Qeshm,IR,89.49,26.9581,56.2719,Qeshm Kavan Hotel
282,Oistins,BB,84.29,13.0667,-59.5333,Butterfly Beach Hotel
283,Eyl,SO,78.91,7.9803,49.8164,Amiin Hotel
292,Cayenne,GF,83.08,4.9333,-52.3333,Hôtel Le Dronmi
296,Axim,GH,75.45,4.8699,-2.2405,Axim Beach Resort And Spa
303,Abu Dhabi,AE,91.42,24.4667,54.3667,Beach Rotana
306,Coahuayana,MX,87.8,18.7333,-103.6833,El rranchito michuacan de ocampos
311,Praya,CV,75.74,14.9215,-23.5087,LT Aparthotel
314,Vanderhoof,CA,76.39,54.0166,-124.0198,Vanderhoof Inn
317,Voh,NC,77.34,-20.9667,164.7,Le gîte du Koniambo
319,Salvador,SV,81.0,13.8333,-88.9167,Chico's Ranch
321,Yarada,IN,83.39,17.65,83.2667,Yarada Jungle Beach Resorts
323,Aklavik,CA,82.4,68.2191,-135.0107,Aklavik Inn
324,Jalu,LY,83.84,29.0331,21.5482,صاحبة الفخامة
328,Buba,GW,76.89,11.5833,-15.0,Pousada Bela Vista
331,Paratinga,BR,77.97,-12.6906,-43.1842,Pousada Magalhães 2
333,Kitob,UZ,82.31,39.0843,66.8332,KESH HOTEL
336,Fare,PF,79.32,-16.7,-151.0167,Maitai Lapita Village Huahine
337,Nova Olinda Do Norte,BR,79.93,-3.8881,-59.0942,Casa Juazeiro
344,Praia,CV,75.74,14.9215,-23.5087,LT Aparthotel
349,Santa Rosa,PH,81.1,14.3122,121.1114,Erlyn’s Sta Rosa City Home
350,Ranong,TH,79.68,9.9658,98.6348,Numsai Khaosuay Resort Ranong
351,Susanville,US,83.91,40.4163,-120.653,Comfort Inn & Suites
352,Nagato,JP,78.75,34.3833,131.2,いそう庵
