City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
483,Kimbe,PG,83.41,light rain,-5.5502,150.1429,Kimbe Bay Hotel
491,Botou,CN,78.76,overcast clouds,38.0667,116.5667,Hanting Hotel Huanghua City Hall
493,Buala,SB,83.64,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
498,The Valley,AI,81.1,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
500,Doka,SD,80.69,few clouds,13.5167,35.7667,Um Rakuba Refugee Camp
502,Naurskaya,RU,83.34,clear sky,43.6519,45.3133,Stanitsa Naurskaya
505,Sakakah,SA,87.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
508,Morant Bay,JM,80.22,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
509,Masakin,TN,84.4,clear sky,35.7292,10.5808,DAR EL ANDALOUS Guest house
512,Mingora,PK,88.18,overcast clouds,34.7758,72.3625,Burj Al Swat
517,Malé,MV,82.99,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
518,Tazmalt,DZ,87.17,broken clouds,36.3868,4.3989,Hôtel Numédia
522,Tautira,PF,77.99,light rain,-17.7333,-149.15,Pension Oaoa
526,Laurel,US,78.26,scattered clouds,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
533,San Andrés,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
534,Pundaguitan,PH,82.9,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
535,Darapidap,PH,87.03,overcast clouds,17.2131,120.4114,Candon Beach Resort
538,Oranjestad,AW,79.99,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
542,Cairns,AU,77.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
543,Biak,ID,80.83,overcast clouds,-0.9131,122.8766,Penginapan Kim
548,Sittwe,MM,85.28,overcast clouds,20.15,92.9,Hotel Memory
549,Wilmington,US,82.0,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
550,Barra Patuca,HN,79.29,overcast clouds,15.8,-84.2833,
552,Banjar,ID,83.41,overcast clouds,-8.19,114.9675,The Hamsa Resort
553,Ndioum,SN,81.12,scattered clouds,16.5129,-14.6471,l'hôtel samassa
554,Turaif,SA,79.05,clear sky,31.6725,38.6637,Turaif
555,Coahuayana Viejo,MX,76.98,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
557,Tieli,CN,84.7,broken clouds,46.95,128.05,Dynasty Hotel
563,Ridgecrest,US,82.26,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
568,Marawi,PH,77.22,light rain,7.9986,124.2928,Derogongan Residence
571,Georgiyevka,KZ,80.64,clear sky,43.0369,74.7114,Gostinitsa Imperiya
572,Okha,RU,80.51,clear sky,53.5739,142.9478,Sakhalin-Sfera
574,Nichinan,JP,85.68,overcast clouds,31.6,131.3667,Guest House Aki
577,Kaya,BF,80.42,overcast clouds,13.0917,-1.0844,Maison de l'appelé
579,Jalu,LY,80.91,clear sky,29.0331,21.5482,صاحبة الفخامة
580,Nishihara,JP,87.46,mist,26.1842,127.7558,Minshuku Agaihama
582,Chake Chake,TZ,78.13,broken clouds,-5.2459,39.7666,Hotel Archipelago
589,Forio,IT,82.78,clear sky,40.7342,13.8646,Hotel Terme Providence
591,Road Town,VG,80.69,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
592,Massakory,TD,81.46,overcast clouds,12.996,15.7293,
595,Sabla,NG,78.39,scattered clouds,12.7525,4.7077,
600,Lala,PH,82.98,broken clouds,7.9745,123.7458,BALAY NI JOICE ANNE GWAPA
